emoticon,label
>:[,enfado
:@,enfado
>:(,enfado
|‑O,aburrimiento
|;‑),felicidad
:'‑(,tristeza
:'(,tristeza
d;,asco
:'‑),felicidad
:'),felicidad
:‑),felicidad
:),felicidad
:-],felicidad
:],felicidad
:-3,felicidad
:3,felicidad
:->,felicidad
:>,felicidad
8-),felicidad
8),felicidad
:-},felicidad
:},felicidad
:o),felicidad
:c),felicidad
:^),felicidad
:-)),felicidad
>:\,enfadado
>:/,enfadado
x‑d,jajaja
xd,jajaja
=d,felicidad
=3,felicidad
b^d,felicidad
<3,amor
:‑p,felicidad
:p,felicidad
x‑p,felicidad
:‑p,felicidad
:‑Þ,felicidad
:Þ,felicidad
:‑þ,felicidad
:þ,felicidad
:‑b,felicidad
=p,felicidad
>:p,felicidad
:‑c,asco
:c,asco
:‑<,asco
:<,asco
:‑(,tristeza
:(,tristeza
:‑[,tristeza
:[,tristeza
:-||,tristeza
:{,tristeza
:‑O,sorpresa
:O,sorpresa
:‑o,sorpresa
:o,sorpresa
:-0,sorpresa
>:0,sorpresa
;‑),felicidad
;),felicidad
;‑],felicidad
;],felicidad
;^),felicidad
;d,felicidad
